Aa,Ab,Ac,Ad,Ae,Af,ST01,SU02,D03,ST04,SU05,D06,D07,SU08,ST09,SU10,D11,ST12,SU13,D14,D15,SU16,ST17,SU18,D19,ST20,SU21,D22,D23,SU24,ST25,SU26,D27,ST28,SU29,D30,D31,SU32,Ca,Cb,Cc,Cd,Ce,Cf,Cg,Ch,Da,Db,Dc,Dd,De,Df,Dg,Dh,Di,Dj,Age,Attitude,Points,gender,deep,surf,stra
3,1,2,1,1,1,4,2,4,4,2,4,4,3,3,2,3,3,3,4,3,2,3,2,4,2,3,3,2,2,4,4,4,4,3,4,4,3,2,4,3,4,3,2,3,4,3,4,4,5,4,2,4,3,4,4,53,37,25,F,3.5833333333333335,2.5833333333333335,3.375
2,2,2,2,1,1,4,2,4,4,4,2,3,4,4,1,4,1,3,2,3,4,4,2,3,1,2,2,3,4,2,4,2,2,3,3,4,5,4,4,4,5,5,3,2,4,4,3,3,4,3,2,3,3,2,4,55,31,12,M,2.9166666666666665,3.1666666666666665,2.75
4,1,1,1,1,1,3,1,4,4,2,3,4,1,3,1,4,4,2,4,2,3,3,1,4,3,2,4,3,3,4,4,3,5,2,4,3,5,3,5,4,4,3,4,4,2,1,4,4,1,4,1,3,1,1,5,49,25,24,F,3.5,2.25,3.625
4,2,3,2,1,1,3,3,4,4,3,4,4,2,3,1,3,3,2,4,3,2,3,1,3,3,3,3,3,2,3,2,3,3,3,4,4,3,3,4,4,4,3,4,4,3,2,4,5,2,5,1,5,4,2,5,53,35,10,M,3.5,2.25,3.125
3,2,2,1,2,1,4,2,5,3,4,4,4,3,4,2,4,2,3,4,3,3,4,1,4,3,2,3,3,4,4,3,3,5,3,3,4,4,2,4,4,3,3,3,4,4,3,4,4,4,4,2,5,5,3,3,49,37,22,M,3.6666666666666665,2.8333333333333335,3.625
4,2,1,1,1,1,4,3,5,4,3,5,5,4,4,1,5,3,1,5,4,2,3,2,4,3,4,5,4,2,4,2,5,4,2,5,5,3,3,5,4,4,3,4,5,4,3,5,4,4,4,3,4,3,3,5,38,38,21,F,4.75,2.4166666666666665,3.625
4,1,2,2,1,1,5,2,4,2,2,3,4,4,2,1,5,2,1,5,2,3,4,1,4,1,1,4,3,2,1,1,4,1,1,4,4,4,4,5,4,4,4,5,5,3,2,4,4,5,5,1,4,4,2,4,50,35,21,M,3.8333333333333335,1.9166666666666667,2.25
3,1,2,1,1,1,4,2,4,5,4,3,4,2,4,2,3,4,2,4,2,3,3,2,4,4,3,2,2,4,4,4,4,4,2,3,4,4,2,4,4,5,3,3,3,3,2,4,4,3,4,1,4,1,1,5,37,29,31,F,3.25,2.8333333333333335,4
2,1,2,1,1,1,4,1,5,5,2,4,5,4,4,1,4,4,1,4,3,4,4,1,5,4,2,4,4,2,4,4,5,5,1,4,5,3,3,5,4,5,3,3,5,5,4,2,4,5,4,4,5,4,4,2,37,38,24,M,4.333333333333333,2.1666666666666665,4.25
3,2,1,1,1,2,4,2,4,4,4,4,4,2,4,2,4,4,2,4,4,4,4,2,4,2,4,4,4,4,4,4,4,2,2,4,4,4,2,4,4,5,4,4,4,4,1,4,4,2,2,1,1,1,1,4,42,21,26,F,4,3,3.5
2,2,2,2,2,2,4,2,4,4,4,4,4,2,4,2,4,4,3,4,3,3,3,2,3,3,2,3,4,4,3,2,3,4,2,3,4,4,3,3,4,4,4,3,3,3,3,4,5,4,4,4,4,4,3,4,37,39,31,M,3.5833333333333335,2.6666666666666665,3.625
5,1,2,1,1,1,5,1,4,5,3,4,4,1,5,2,4,4,1,4,4,4,5,1,3,4,2,3,3,4,5,4,5,5,1,3,5,5,3,4,5,3,5,3,4,3,3,4,4,5,4,2,3,5,4,4,34,38,31,F,3.8333333333333335,2.4166666666666665,4.75
4,1,3,1,1,2,5,2,5,4,2,4,5,1,4,2,5,4,2,5,4,1,3,2,4,3,2,4,4,2,4,4,4,2,3,3,4,4,3,5,5,3,4,4,4,3,2,4,3,1,4,1,2,2,1,4,34,24,23,F,4.25,2.25,3.625
2,1,3,1,1,1,4,4,3,3,2,4,4,2,4,1,2,3,2,4,2,3,4,2,4,2,4,4,2,4,4,4,2,4,3,5,4,2,2,5,2,3,3,4,5,4,2,5,5,2,4,1,3,2,1,5,34,30,25,F,3.3333333333333335,2.75,3.5
4,1,1,1,1,1,3,1,5,2,2,4,4,4,2,1,4,1,2,4,4,2,3,2,5,1,2,5,2,2,1,4,3,1,2,5,5,4,3,1,3,4,2,4,2,4,2,2,4,1,2,5,2,3,1,4,35,26,21,M,4.166666666666667,2.3333333333333335,1.75
4,2,3,2,1,1,3,2,4,5,2,4,3,2,5,2,4,3,3,4,4,3,2,1,3,4,1,4,4,3,5,4,4,4,2,2,4,3,3,4,4,2,3,2,4,3,4,4,4,5,4,2,4,5,5,4,33,41,31,F,3.6666666666666665,2.3333333333333335,3.875
3,1,1,1,1,1,3,2,5,2,3,4,5,4,1,3,4,1,2,5,3,4,1,3,3,1,1,5,5,3,1,5,2,1,2,4,4,3,3,5,3,3,4,3,5,3,2,4,3,4,3,1,3,1,1,4,32,26,20,F,4.083333333333333,2.9166666666666665,1.375
3,2,2,1,1,1,4,2,5,4,2,4,4,2,4,2,4,2,3,4,4,3,3,3,4,3,1,2,1,3,3,4,4,3,3,2,4,2,2,4,4,3,2,2,3,4,2,3,4,2,3,2,3,3,2,2,44,26,22,F,3.5,2.5,3.25
2,1,1,1,1,1,4,3,4,4,4,3,4,4,2,4,4,3,4,4,4,4,3,1,4,2,4,4,5,4,4,5,4,2,4,4,5,4,2,5,4,4,4,4,3,4,1,2,2,2,2,1,2,1,1,3,29,17,9,M,4.083333333333333,3.75,3
3,1,2,1,1,1,4,3,5,5,2,4,5,4,4,1,4,4,2,4,4,2,2,2,4,4,2,4,4,3,4,4,4,3,4,4,2,4,4,5,4,4,4,4,5,3,2,4,4,2,4,1,4,1,1,4,30,27,24,F,4,2.75,3.75
4,4,4,4,4,4,3,2,4,3,2,4,4,4,3,2,4,2,1,4,3,2,3,1,4,2,1,4,4,3,3,4,4,2,2,4,4,4,3,4,4,3,4,3,4,4,4,4,4,4,4,3,4,5,3,4,27,39,28,M,3.9166666666666665,2.3333333333333335,2.625
3,2,2,2,1,2,4,2,4,2,3,4,4,4,2,1,4,3,2,4,4,3,2,1,4,2,4,4,4,2,2,2,4,2,2,4,4,3,3,5,4,3,2,4,3,3,3,4,4,3,4,2,3,4,3,4,29,34,30,M,4,2.4166666666666665,2.375
